Year,Department,Job Code,Wages,Overtime,Fixed Benefits,Variable Benefits,Total,ObjectId
20,Parks & Community Services,AMG605 - Office Asst - PBM,14991.5,,,1366.38,16357.88,217
21,Parks & Community Services,AMG605 - Office Asst - PBM,1281.6,,,118.65,1400.25,218
19,Parks & Community Services,AMG605 - Office Asst - PBM,750,,,68.73,818.73,219
20,Parks & Community Services,AMG605 - Office Asst - PBM,1558.82,,,142.58,1701.4,220
20,Parks & Community Services,AMG605 - Office Asst - PBM,1420.25,,,131.22,1551.47,221
14,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,22555.77,,,2413.33,24969.1,222
15,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,22295.78,,,2299.35,24595.13,223
16,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,29283.56,,,2936.95,32220.51,224
17,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,30790.98,,,2661.83,33452.81,225
18,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,33402.78,,1.71,2828.52,36233.01,226
19,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,29804.27,,1.76,2572.75,32378.78,227
14,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,13238.82,,,1458.32,14697.14,228
15,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,12680.98,,,1360.45,14041.43,229
16,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,12457.54,,,1321.07,13778.61,230
17,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,14940.92,,,1313.27,16254.19,231
18,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,16859.98,,1,1441.46,18302.44,232
19,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,19579.03,,1.11,1706.7,21286.84,233
20,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,2801.34,,,245.4,3046.74,234
16,Parks & Community Services,AMG606 - Sr Office Asst - PBM Rate 2,112.44,,,11.37,123.81,235
14,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,14427.66,,,1552.18,15979.84,236
15,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,19441.24,,,2017.1,21458.34,237
16,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,21668.24,,,2204.61,23872.85,238
17,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,23740.93,,,2055.15,25796.08,239
18,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,26831.61,,2.22,2266,29099.83,240
19,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,28002.11,,1.6,2417.1,30420.81,241
14,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,20828.08,,,2331.75,23159.83,242
15,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,22403.68,,,2437.96,24841.64,243
16,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,26038.03,,,2671.9,28709.93,244
17,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,31932.46,,,2785.51,34717.97,245
18,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,35010.84,,2.02,2974.04,37986.9,246
19,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,35366.22,,1.72,3046.86,38414.8,247
14,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,15587.87,,,1745.99,17333.86,248
16,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,3636.17,,,399.94,4036.11,249
14,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,2778.32,,,314.93,3093.25,250
15,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,4182.04,,,462.03,4644.07,251
14,Parks & Community Services,AMG606 - Sr Office Asst - PBM Rate 2,1455.37,,,155.8,1611.17,252
20,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,2999.8,,,270.22,3270.02,253
18,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,6463.96,,0.5,630.85,7095.31,254
20,Fire,AMG606 - Sr Office Asst - PBM Rate 2,18012.5,,,1597.36,19609.86,255
20,Fire,AMG606 - Sr Office Asst - PBM Rate 2,23018.75,,,2043.1,25061.85,256
21,Fire,AMG606 - Sr Office Asst - PBM Rate 2,425,,,89.86,514.86,257
20,Fire,AMG606 - Sr Office Asst - PBM Rate 2,787.5,,,140.1,927.6,258
20,Fire,AMG606 - Sr Office Asst - PBM Rate 2,5625,,,500.26,6125.26,259
20,Fire,AMG606 - Sr Office Asst - PBM Rate 2,1925,,,171.19,2096.19,260
20,Fire,AMG606 - Sr Office Asst - PBM Rate 2,4150,,,369.11,4519.11,261
20,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,1669.7,,,150.64,1820.34,262
21,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,371.15,,,34,405.15,263
20,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,566,,,51,617,264
20,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,1064.08,,,96.16,1160.24,265
21,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,399.7,,,36.62,436.32,266
20,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,724.48,,,65.27,789.75,267
21,Community Development,AMG606 - Sr Office Asst - PBM Rate 2,296.92,,,27.19,324.11,268
14,Human Resources,AMG607 - Office Clerk - PBM,4173.06,,,494.84,4667.9,269
15,Human Resources,AMG607 - Office Clerk - PBM,5026.24,,,577.62,5603.86,270
16,Human Resources,AMG607 - Office Clerk - PBM,4115.46,,,467.4,4582.86,271
17,Human Resources,AMG607 - Office Clerk - PBM,2944.93,,,270.82,3215.75,272
14,Parks & Community Services,AMG607 - Office Clerk - PBM,1186.79,,,159.54,1346.33,273
15,Parks & Community Services,AMG607 - Office Clerk - PBM,8866.91,,,1144.62,10011.53,274
16,Parks & Community Services,AMG607 - Office Clerk - PBM,7983.2,,,1032.94,9016.14,275
19,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,3906.47,,0.37,629.63,4536.47,276
18,Parks & Community Services,AMG301 - Student Intern 1 - PBM,2346,,,230.04,2576.04,277
20,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,410.4,,,101.78,512.18,278
17,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,2222,,,228.06,2450.06,279
18,Parks & Community Services,AMG301 - Student Intern 1 - PBM,2208,,,216.53,2424.53,280
17,Parks & Community Services,AMG607 - Office Clerk - PBM,435.96,,,71.98,507.94,281
18,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,8021.25,,,786.45,8807.7,282
18,Parks & Community Services,AMG301 - Student Intern 1 - PBM,2415,,,236.8,2651.8,283
14,Parks & Community Services,AMG607 - Office Clerk - PBM,4129.83,,,579.41,4709.24,284
19,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,7152,,0.37,710.96,7863.33,285
18,Parks & Community Services,AMG301 - Student Intern 1 - PBM,2277,,,223.26,2500.26,286
15,Parks & Community Services,AMG607 - Office Clerk - PBM,4370.93,,,621.57,4992.5,287
20,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,1117.14,,,109.8,1226.94,288
18,Parks & Community Services,AMG301 - Student Intern 1 - PBM,2346,,,230.04,2576.04,289
16,Parks & Community Services,AMG607 - Office Clerk - PBM,1792.02,,,271.54,2063.56,290
17,City Attorney,AMG611 - Supported Employment Aide- PBM,504.68,,,166.78,671.46,291
18,Parks & Community Services,AMG301 - Student Intern 1 - PBM,1863,,,182.68,2045.68,292
17,Parks & Community Services,AMG607 - Office Clerk - PBM,1583.19,,,255.48,1838.67,293
18,City Attorney,AMG611 - Supported Employment Aide- PBM,57.04,,,18,75.04,294
18,Parks & Community Services,AMG301 - Student Intern 1 - PBM,2208,,,216.5,2424.5,295
14,Parks & Community Services,AMG607 - Office Clerk - PBM,619.06,,,83.44,702.5,296
17,City Clerk,AMG611 - Supported Employment Aide- PBM,1123.32,,,166.78,1290.1,297
18,Parks & Community Services,AMG301 - Student Intern 1 - PBM,2070,,,202.98,2272.98,298
18,Parks & Community Services,AMG301 - Student Intern 1 - PBM,2415,,,236.8,2651.8,299
14,Parks & Community Services,AMG607 - Office Clerk - PBM,4705.55,,,634.13,5339.68,300
14,Parks & Community Services,AMG607 - Office Clerk - PBM,6261.21,,,843.77,7104.98,301
19,Parks & Community Services,AMG301 - Student Intern 1 - PBM,2388,,,237.32,2625.32,302
14,Finance & Asset Management,AMG607 - Office Clerk - PBM,4567.5,,,577.04,5144.54,303
18,City Clerk,AMG611 - Supported Employment Aide- PBM,126.96,,,18,144.96,304
17,Transportation,AMG302 - Student Intern 2 - PBM,8190,175.5,,772.71,9138.21,305
14,Parks & Community Services,AMG607 - Office Clerk - PBM,468.3,,,63.11,531.41,306
17,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,440,,,45.02,485.02,307
19,Transportation,AMG302 - Student Intern 2 - PBM,7766.65,,,709.33,8475.98,308
14,Parks & Community Services,AMG607 - Office Clerk - PBM,426.6,,,57.5,484.1,309
18,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,543.33,,,53.15,596.48,310
18,Transportation,AMG302 - Student Intern 2 - PBM,4320,162,,574.34,5056.34,311
14,Parks & Community Services,AMG607 - Office Clerk - PBM,436.22,,,58.8,495.02,312
19,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,629.71,,0.05,62.1,691.86,313
15,Transportation,AMG302 - Student Intern 2 - PBM,8443.37,,,1051.08,9494.45,314
15,Parks & Community Services,AMG607 - Office Clerk - PBM,4470.26,,,579.18,5049.44,315
20,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,324,,,31.85,355.85,316
16,Transportation,AMG302 - Student Intern 2 - PBM,12778.76,,,1537.79,14316.55,317
16,Development Services,AMG607 - Office Clerk - PBM,1323,,,166.61,1489.61,318
17,Human Resources,AMG611 - Supported Employment Aide- PBM,66,,,6.53,72.53,319
17,Transportation,AMG302 - Student Intern 2 - PBM,4498.89,,,422.96,4921.85,320
18,City Attorney,AMG611 - Supported Employment Aide- PBM,402.5,,,68.67,471.17,321
18,Human Resources,AMG611 - Supported Employment Aide- PBM,3381,,0.1,330.78,3711.88,322
14,Transportation,AMG302 - Student Intern 2 - PBM,7793.97,,,874.2,8668.17,323
19,Human Resources,AMG611 - Supported Employment Aide- PBM,2503.13,,,398.95,2902.08,324
19,Human Resources,AMG611 - Supported Employment Aide- PBM,3262.97,,0.21,319.48,3582.66,325
14,Utilities,AMG302 - Student Intern 2 - PBM,6560,,,808.32,7368.32,326
20,Human Resources,AMG611 - Supported Employment Aide- PBM,669.6,,,101.78,771.38,327
18,City Clerk,AMG611 - Supported Employment Aide- PBM,8901,,,872.78,9773.78,328
18,Utilities,AMG302 - Student Intern 2 - PBM,670,,,59.57,729.57,329
17,Parks & Community Services,AMG611 - Supported Employment Aide- PBM,3091,,,316.29,3407.29,330
19,City Clerk,AMG611 - Supported Employment Aide- PBM,9538.92,,0.3,934.09,10473.31,331
19,Utilities,AMG302 - Student Intern 2 - PBM,24603.88,,1.3,2221.75,26826.93,332
15,City Clerk,"ANE101 - Asst City Mgr, Adm & Cncl Sppt",27503.85,,610.54,4062.49,32176.88,333
20,Utilities,AMG302 - Student Intern 2 - PBM,8561.6,,,767.35,9328.95,334
15,City Clerk,"ANE101 - Asst City Mgr, Adm & Cncl Sppt",63308.7,,7588.63,10294.9,81192.23,335
14,Utilities,AMG302 - Student Intern 2 - PBM,8540,,,1052.3,9592.3,336
16,City Clerk,"ANE101 - Asst City Mgr, Adm & Cncl Sppt",157075.12,,19252.49,26096.52,202424.13,337
14,Transportation,AMG302 - Student Intern 2 - PBM,7581.12,,,911.9,8493.02,338
17,City Clerk,"ANE101 - Asst City Mgr, Adm & Cncl Sppt",168625.92,,17335.86,29674.98,215636.76,339
15,Transportation,AMG302 - Student Intern 2 - PBM,7627.44,,,922.44,8549.88,340
18,City Clerk,"ANE101 - Asst City Mgr, Adm & Cncl Sppt",178383.01,,15451.34,31701.36,225535.71,341
14,Parks & Community Services,ANG201 - Admin Svcs Mgr,105633.68,,17073.33,17627.28,140334.29,342
15,Parks & Community Services,ANG201 - Admin Svcs Mgr,107301.04,,18140.15,19029.08,144470.27,343
16,Parks & Community Services,ANG201 - Admin Svcs Mgr,109815.12,,19252.49,20561.96,149629.57,344
17,Parks & Community Services,ANG201 - Admin Svcs Mgr,41344.11,,6531.84,7876.98,55752.93,345
15,City Manager,ANG202 - Admin Svcs Supv,1289.37,,6015.01,4870.02,12174.4,346
16,City Manager,ANG202 - Admin Svcs Supv,4531.1,,18944.46,14978.29,38453.85,347
17,City Manager,ANG202 - Admin Svcs Supv,5007.31,,17335.86,16936.68,39279.85,348
18,City Manager,ANG202 - Admin Svcs Supv,4970.24,,14852.96,17478.43,37301.63,349
19,City Manager,ANG202 - Admin Svcs Supv,5144.23,,15468.51,19164.81,39777.55,350
20,City Manager,ANG202 - Admin Svcs Supv,1347.31,,4012.27,4912.46,10272.04,351
15,Community Development,ANG202 - Admin Svcs Supv,24497.93,,6015.01,4870.02,35382.96,352
16,Community Development,ANG202 - Admin Svcs Supv,77855.51,,19252.49,15365.05,112473.05,353
17,Community Development,ANG202 - Admin Svcs Supv,81098.65,,17335.86,16936.68,115371.19,354
18,Community Development,ANG202 - Admin Svcs Supv,84333.2,,15446.76,18180.94,117960.9,355
19,Community Development,ANG202 - Admin Svcs Supv,87661.24,,15468.51,19164.81,122294.56,356
20,Community Development,ANG202 - Admin Svcs Supv,86796.05,,11201.26,14567.18,112564.49,357
18,Development Services,ANG202 - Admin Svcs Supv,81489.36,,15446.51,16747.27,113683.14,358
19,Development Services,ANG202 - Admin Svcs Supv,88270.56,,15468.34,18359.03,122097.93,359
20,Development Services,ANG202 - Admin Svcs Supv,93288.64,,11884.23,19496.46,124669.33,360
21,Development Services,ANG202 - Admin Svcs Supv,7797.2,,1310.26,1638.49,10745.95,361
14,Utilities,ANG202 - Admin Svcs Supv,81477.6,,17073.33,13783.97,112334.9,362
15,Utilities,ANG202 - Admin Svcs Supv,83090.88,,18140.15,14877.11,116108.14,363
16,Utilities,ANG202 - Admin Svcs Supv,84113.6,,19252.49,15900.83,119266.92,364
17,Utilities,ANG202 - Admin Svcs Supv,85423.92,,17335.86,17103.94,119863.72,365
18,Utilities,ANG202 - Admin Svcs Supv,87830.32,,15446.77,18208.76,121485.85,366
16,Transportation,AMG302 - Student Intern 2 - PBM,7232.73,198.6,,876.37,8307.7,367
14,Transportation,AMG302 - Student Intern 2 - PBM,4356.33,,,562.76,4919.09,368
14,Transportation,AMG302 - Student Intern 2 - PBM,7275,,,919.06,8194.06,369
14,Transportation,AMG302 - Student Intern 2 - PBM,9549.87,,,1230.61,10780.48,370
15,Transportation,AMG302 - Student Intern 2 - PBM,16404.52,,,2019.75,18424.27,371
16,Transportation,AMG302 - Student Intern 2 - PBM,6243.38,,,759.87,7003.25,372
14,Transportation,AMG302 - Student Intern 2 - PBM,4540.83,,,530.4,5071.23,373
15,Transportation,AMG302 - Student Intern 2 - PBM,6877.26,,,831.73,7708.99,374
16,Transportation,AMG302 - Student Intern 2 - PBM,6885.15,198.6,,835.27,7919.02,375
15,Information Technology,AMG302 - Student Intern 2 - PBM,9769.5,,,1124.34,10893.84,376
15,Parks & Community Services,AMG302 - Student Intern 2 - PBM,576,,,66.24,642.24,377
15,City Attorney,AMG302 - Student Intern 2 - PBM,6240,,,766.34,7006.34,378
15,Utilities,AMG302 - Student Intern 2 - PBM,8624,,,1034.18,9658.18,379
15,Utilities,AMG302 - Student Intern 2 - PBM,8424,,,1010.17,9434.17,380
16,Transportation,AMG302 - Student Intern 2 - PBM,18299.25,,,2067.27,20366.52,381
17,Transportation,AMG302 - Student Intern 2 - PBM,13411.77,,66.99,1267.65,14746.41,382
16,Transportation,AMG302 - Student Intern 2 - PBM,15696,,,1800.79,17496.79,383
17,Transportation,AMG302 - Student Intern 2 - PBM,14179.68,,,1307.39,15487.07,384
18,Transportation,AMG302 - Student Intern 2 - PBM,12113.64,,,1084.78,13198.42,385
16,Utilities,AMG302 - Student Intern 2 - PBM,7584,,,908.14,8492.14,386
16,Utilities,AMG302 - Student Intern 2 - PBM,6920,,,828.62,7748.62,387
16,Parks & Community Services,AMG302 - Student Intern 2 - PBM,3195,,,391.79,3586.79,388
16,Parks & Community Services,AMG302 - Student Intern 2 - PBM,2370,,,290.62,2660.62,389
16,City Clerk,AMG302 - Student Intern 2 - PBM,4388.45,,,510.42,4898.87,390
16,Transportation,AMG302 - Student Intern 2 - PBM,9898.35,,,1203.54,11101.89,391
17,Transportation,AMG302 - Student Intern 2 - PBM,16499.92,,,1520.2,18020.12,392
18,Transportation,AMG302 - Student Intern 2 - PBM,7617.48,,,677.68,8295.16,393
17,Parks & Community Services,AMG302 - Student Intern 2 - PBM,4464.77,,,427.9,4892.67,394
17,Parks & Community Services,AMG302 - Student Intern 2 - PBM,5692.5,,,544.63,6237.13,395
17,Development Services,AMG302 - Student Intern 2 - PBM,2052.06,,,196.65,2248.71,396
17,Utilities,AMG302 - Student Intern 2 - PBM,9076.5,,,839.4,9915.9,397
17,Utilities,AMG302 - Student Intern 2 - PBM,12259.44,,,1133,13392.44,398
18,Utilities,AMG302 - Student Intern 2 - PBM,693.38,,,62.34,755.72,399
17,Transportation,AMG302 - Student Intern 2 - PBM,11604.71,,,1075,12679.71,400
21,Utilities,ANG208 - Program Administrator,7903.84,,1310.26,1680.55,10894.65,401
14,Parks & Community Services,ANG209 - Program Manager,100869.6,,17073.33,16936.74,134879.67,402
15,Parks & Community Services,ANG209 - Program Manager,116267.99,,18140.15,21110.04,155518.18,403
16,Parks & Community Services,ANG209 - Program Manager,1179.52,,805.51,191.5,2176.53,404
14,Parks & Community Services,ANG209 - Program Manager,19772,,3613.25,3586,26971.25,405
18,Parks & Community Services,ANG209 - Program Manager,77261.41,,12230.43,15825.91,105317.75,406
19,Parks & Community Services,ANG209 - Program Manager,105611.04,,15469.38,21890.8,142971.22,407
20,Parks & Community Services,ANG209 - Program Manager,112217.04,,11884.23,23383.57,147484.84,408
21,Parks & Community Services,ANG209 - Program Manager,9495.12,,1310.26,1992,12797.38,409
14,Information Technology,ANG209 - Program Manager,108097.31,,16663.98,18058.4,142819.69,410
15,Information Technology,ANG209 - Program Manager,112732.48,,18140.15,19395.64,150268.27,411
16,Information Technology,ANG209 - Program Manager,4741.69,,805.51,889.38,6436.58,412
16,Development Services,ANG209 - Program Manager,71533.59,,13613.92,13337.63,98485.14,413
17,Development Services,ANG209 - Program Manager,29660.76,,2177.28,3610.93,35448.97,414
20,Transportation,ANG209 - Program Manager,89394.48,,10556.96,19592.62,119544.06,415
21,Transportation,ANG209 - Program Manager,8959.36,,1310.26,1896.61,12166.23,416
14,Parks & Community Services,ANG209 - Program Manager,94548,,17073.33,16003.8,127625.13,417
15,Parks & Community Services,ANG209 - Program Manager,96420,,18140.15,17254.12,131814.27,418
16,Parks & Community Services,ANG209 - Program Manager,4057.27,,805.51,767.8,5630.58,419
14,Parks & Community Services,ANG209 - Program Manager,100389.6,,17073.33,16816.62,134279.55,420
15,Parks & Community Services,ANG209 - Program Manager,102331.87,,18140.15,18167.47,138639.49,421
16,Parks & Community Services,ANG209 - Program Manager,103174.32,,19252.49,19351.69,141778.5,422
17,Parks & Community Services,ANG209 - Program Manager,105016.32,,17335.86,20800.26,143152.44,423
18,Parks & Community Services,ANG209 - Program Manager,44928.9,,6433.8,9219.72,60582.42,424
14,Community Development,ANG209 - Program Manager,99369.6,,17073.33,16799.21,133242.14,425
15,Community Development,ANG209 - Program Manager,71102.52,,12812.56,12328.15,96243.23,426
14,Transportation,ANG209 - Program Manager,52791.71,,8514.6,8393.4,69699.71,427
17,Development Services,ANG209 - Program Manager,30373.72,,4997.94,7221.77,42593.43,428
18,Development Services,ANG209 - Program Manager,113642.16,,15448.35,23444.19,152534.7,429
19,Development Services,ANG209 - Program Manager,111919.48,,15469.93,23417.6,150807.01,430
20,Development Services,ANG209 - Program Manager,112652,,11884.23,23702.28,148238.51,431
21,Development Services,ANG209 - Program Manager,9430.12,,1310.26,1996.12,12736.5,432
17,Development Services,ANG209 - Program Manager,78556.8,,14515.2,15751.13,108823.13,433
19,Utilities,ANG202 - Admin Svcs Supv,90572.88,,15468.53,19044.49,125085.9,434
15,Transportation,ANG203 - Contract Adminstr,49914.55,,15125.43,9025.77,74065.75,435
18,Parks & Community Services,ANG203 - Contract Adminstr,19371.5,,3216.9,3968.54,26556.94,436
14,Community Development,ANG209 - Program Manager,55646.88,,17073.33,9400.73,82120.94,437
15,Community Development,ANG209 - Program Manager,56748.72,,18140.15,10154.54,85043.41,438
16,Community Development,ANG209 - Program Manager,58410.56,,19252.49,10998.08,88661.13,439
17,Community Development,ANG209 - Program Manager,58342.08,,17335.86,11624.23,87302.17,440
18,Community Development,ANG209 - Program Manager,59917.44,,15445.07,12348.64,87711.15,441
19,Community Development,ANG209 - Program Manager,61858.8,,15466.77,12890.54,90216.11,442
20,Community Development,ANG209 - Program Manager,7652.68,,658.58,727.92,9039.18,443
18,Transportation,ANG209 - Program Manager,46927.61,,6854.2,9583.97,63365.78,444
19,Transportation,ANG209 - Program Manager,106259.52,,15469.49,22137.61,143866.62,445
20,Transportation,ANG209 - Program Manager,112152,,12542.81,24478.26,149173.07,446
21,Transportation,ANG209 - Program Manager,9430.12,,1310.26,1992.21,12732.59,447
17,Utilities,ANG209 - Program Manager,0,,-1441.26,,-1441.26,448
15,Finance & Asset Management,ANG209 - Program Manager,75676.22,,15674.7,13257.38,104608.3,449
16,Finance & Asset Management,ANG209 - Program Manager,89643.91,,19178.14,16960.52,125782.57,450
17,Finance & Asset Management,ANG209 - Program Manager,96128.4,,17335.86,19232.12,132696.38,451
18,Finance & Asset Management,ANG209 - Program Manager,100666.94,,15443.36,20768.95,136879.25,452
16,City Clerk,ANG209 - Program Manager,22511.72,,6364.33,4231.28,33107.33,453
18,Finance & Asset Management,ANG208 - Program Administrator,92953.2,,15447.05,19217.72,127617.97,454
20,Utilities,ANG202 - Admin Svcs Supv,91958.64,,11884.23,19518.9,123361.77,455
