Year,Department,Job Code,Wages,Overtime,Fixed Benefits,Variable Benefits,Total,ObjectId
16,Utilities,DNG223 - Utilities Review Prof,92832.81,,19252.49,17492.92,129578.22,3530
18,Development Services,DNG502 - Permit Procsng Tech,28158.77,,6433.8,5611.31,40203.88,3531
17,Utilities,DNG223 - Utilities Review Prof,94336.56,,17335.86,18852.99,130525.41,3532
14,Development Services,DNG502 - Permit Procsng Tech,24211.92,,8558.73,4120.13,36890.78,3533
18,Utilities,DNG223 - Utilities Review Prof,97148.68,,15447.33,20063.75,132659.76,3534
15,Development Services,DNG502 - Permit Procsng Tech,50617.2,,18140.15,9116.46,77873.81,3535
19,Utilities,DNG223 - Utilities Review Prof,100022.64,,15469.1,20940.44,136432.18,3536
16,Development Services,DNG502 - Permit Procsng Tech,53674.08,37.76,19252.49,10206.48,83170.81,3537
17,Development Services,DNG502 - Permit Procsng Tech,57372.36,,17335.86,11669.89,86378.11,3538
18,Development Services,DNG502 - Permit Procsng Tech,61867.32,,15445.28,12943.23,90255.83,3539
19,Development Services,DNG502 - Permit Procsng Tech,68265.36,,15467.09,14439.83,98172.28,3540
20,Development Services,DNG502 - Permit Procsng Tech,71496.24,,11884.23,15208.35,98588.82,3541
21,Development Services,DNG502 - Permit Procsng Tech,6312.22,,1310.26,1349.15,8971.63,3542
18,Development Services,DNG502 - Permit Procsng Tech,-276.66,,530.67,555.08,809.09,3543
14,Transportation,DNG503 - Asst Planner,54359.04,,17073.33,9236.2,80668.57,3544
21,Development Services,DNG213 - Planning Mgr,10942.2,,1310.26,2309.46,14561.92,3545
14,Community Development,DNG213 - Planning Mgr,118303.2,,17073.33,19971.92,155348.45,3546
15,Community Development,DNG213 - Planning Mgr,120236.08,,18140.15,21512.35,159888.58,3547
16,Community Development,DNG213 - Planning Mgr,118750.08,,19252.49,22394.26,160396.83,3548
17,Community Development,DNG213 - Planning Mgr,120887.76,,17335.86,24112.05,162335.67,3549
18,Community Development,DNG213 - Planning Mgr,126651.76,,15449,26162.38,168263.14,3550
19,Community Development,DNG213 - Planning Mgr,85449.44,,10306.55,17854.62,113610.61,3551
14,Development Services,DNG213 - Planning Mgr,1500,,266.76,540.33,2307.09,3552
15,Development Services,DNG213 - Planning Mgr,150,,,18.94,168.94,3553
16,Development Services,DNG213 - Planning Mgr,115302.16,,18446.98,21676.45,155425.59,3554
17,Development Services,DNG213 - Planning Mgr,120887.76,,17335.86,24083.05,162306.67,3555
18,Development Services,DNG213 - Planning Mgr,124151.76,,15449,25641.7,165242.46,3556
20,Utilities,DNG223 - Utilities Review Prof,101718.12,,11884.23,21342.37,134944.72,3557
19,Development Services,DNG213 - Planning Mgr,132446.75,,15470.82,27659.12,175576.69,3558
21,Utilities,DNG223 - Utilities Review Prof,8538.92,,1965.39,2693.73,13198.04,3559
20,Development Services,DNG213 - Planning Mgr,135462.32,,11884.23,28380.71,175727.26,3560
17,Utilities,DNG223 - Utilities Review Prof,14454.3,,3546.42,3020.66,21021.38,3561
21,Development Services,DNG213 - Planning Mgr,11369.46,,1310.26,2399.18,15078.9,3562
18,Utilities,DNG223 - Utilities Review Prof,74816.45,,15513.34,15690.09,106019.88,3563
14,Utilities,DNG213 - Planning Mgr,116195.7,,17073.33,19470.61,152739.64,3564
19,Utilities,DNG223 - Utilities Review Prof,81267.48,,16116.19,17728.59,115112.26,3565
15,Utilities,DNG213 - Planning Mgr,118406.08,,18140.15,21012.35,157558.58,3566
20,Utilities,DNG223 - Utilities Review Prof,86710.72,,11884.23,18271.68,116866.63,3567
16,Utilities,DNG213 - Planning Mgr,126091.21,,17721.22,20997.2,164809.63,3568
21,Utilities,DNG223 - Utilities Review Prof,7633.4,,1965.39,2386.11,11984.9,3569
14,Development Services,DNG213 - Planning Mgr,108290.98,,17073.33,18310.74,143675.05,3570
14,Transportation,DNG225 - Principal Transportn Planner,14194.65,,8954.05,10743.6,33892.3,3571
15,Development Services,DNG213 - Planning Mgr,6532.44,,753.68,1101.54,8387.66,3572
14,Community Development,DNG213 - Planning Mgr,115303.2,,17073.33,19449.57,151826.1,3573
15,Community Development,DNG213 - Planning Mgr,88428.34,,11305.2,13543.17,113276.71,3574
17,Development Services,DNG213 - Planning Mgr,50137.78,,7900.98,10351.59,68390.35,3575
18,Development Services,DNG213 - Planning Mgr,117026.2,,15448.62,24129.1,156603.92,3576
19,Development Services,DNG213 - Planning Mgr,127058.72,,15470.74,26479.13,169008.59,3577
20,Development Services,DNG213 - Planning Mgr,130335.2,,11884.23,27290.84,169510.27,3578
21,Development Services,DNG213 - Planning Mgr,10942.2,,1310.26,2304.7,14557.16,3579
15,Community Development,DNG213 - Planning Mgr,44335,,7588.63,8376.83,60300.46,3580
16,Community Development,DNG213 - Planning Mgr,13432.17,,2416.53,2538.93,18387.63,3581
14,Development Services,DNG213 - Planning Mgr,102639.76,,17073.33,17331.87,137044.96,3582
15,Development Services,DNG213 - Planning Mgr,128474,,18140.15,22266.71,168880.86,3583
16,Development Services,DNG213 - Planning Mgr,119000.08,,19252.49,22446.35,160698.92,3584
17,Development Services,DNG213 - Planning Mgr,40295.92,,5806.08,7715.46,53817.46,3585
14,Utilities,DNG213 - Planning Mgr,89019.12,,17073.33,15062.85,121155.3,3586
15,Utilities,DNG213 - Planning Mgr,103763.93,,18140.15,18461.59,140365.67,3587
16,Utilities,DNG213 - Planning Mgr,106231.6,,19252.49,20069.55,145553.64,3588
17,Utilities,DNG213 - Planning Mgr,113444.16,,17335.86,22608.4,153388.42,3589
18,Utilities,DNG213 - Planning Mgr,122332.33,,15448.89,25254.64,163035.86,3590
19,Utilities,DNG213 - Planning Mgr,128174.16,,15470.82,26765.42,170410.4,3591
20,Utilities,DNG213 - Planning Mgr,130135.2,,11884.23,27297.4,169316.83,3592
21,Utilities,DNG213 - Planning Mgr,10942.2,,1310.26,2305.63,14558.09,3593
15,Development Services,DNG213 - Planning Mgr,49166.08,,9095.99,9278.92,67540.99,3594
16,Development Services,DNG213 - Planning Mgr,102908.96,,19252.49,19432.78,141594.23,3595
17,Development Services,DNG213 - Planning Mgr,112525.2,,17335.86,22369.75,152230.81,3596
18,Development Services,DNG213 - Planning Mgr,119106.68,,15642.27,25025.71,159774.66,3597
19,Development Services,DNG213 - Planning Mgr,89588.76,,11189.71,18843.82,119622.29,3598
16,Community Development,DNG213 - Planning Mgr,105000.08,,18446.98,19862.09,143309.15,3599
17,Community Development,DNG213 - Planning Mgr,119241.75,,17335.86,23771.96,160349.57,3600
20,Transportation,"ENG201 - Eng, Trans",83741.64,,12542.81,18390.18,114674.63,3601
21,Transportation,"ENG201 - Eng, Trans",7378.78,,1310.26,1571.39,10260.43,3602
17,Transportation,"ENG201 - Eng, Trans",67446.21,,16610.1,13341.35,97397.66,3603
17,Transportation,"ENG201 - Eng, Trans",68177.96,,15884.34,13659.69,97721.99,3604
18,Transportation,"ENG201 - Eng, Trans",82409.5,,15446.42,17014.65,114870.57,3605
19,Transportation,"ENG201 - Eng, Trans",63839.82,,10947.8,12962.34,87749.96,3606
17,Transportation,"ENG201 - Eng, Trans",68812.36,,14432.82,13886.17,97131.35,3607
18,Transportation,"ENG201 - Eng, Trans",91452.41,,15506.46,19004.74,125963.61,3608
19,Transportation,"ENG201 - Eng, Trans",99136.32,,16112.42,21586.36,136835.1,3609
20,Transportation,"ENG201 - Eng, Trans",81756.01,,11883.99,18230.93,111870.93,3610
19,Transportation,"ENG202 - Sr Eng, Trans",101972.64,,15469.22,21378.84,138820.7,3611
21,Transportation,"ENG201 - Eng, Trans",11010.83,,1970.1,3422.94,16403.87,3612
17,Transportation,"ENG201 - Eng, Trans",57604.23,,12981.3,11711.36,82296.89,3613
18,Transportation,"ENG201 - Eng, Trans",84340.49,,15362.54,17417.47,117120.5,3614
20,Transportation,"ENG202 - Sr Eng, Trans",108874.44,,11884.23,22882.47,143641.14,3615
14,Transportation,"ENG201 - Eng, Trans",88418.25,,17073.33,14851.38,120342.96,3616
19,Transportation,"ENG201 - Eng, Trans",72238,,12303.71,15275.73,99817.44,3617
21,Transportation,"ENG202 - Sr Eng, Trans",9597.7,,1310.26,2024.54,12932.5,3618
16,Transportation,"ENG202 - Sr Eng, Trans",113434.81,,19252.49,21383.49,154070.79,3619
19,Transportation,"ENE101 - Dir, Transportation",125333.36,,9026.29,23269.44,157629.09,3620
17,Transportation,"ENG201 - Eng, Trans",54999.94,,12255.54,11232.82,78488.3,3621
15,Transportation,"ENG201 - Eng, Trans",94765.93,,18140.15,16859.51,129765.59,3622
14,Transportation,"ENG202 - Sr Eng, Trans",68420.87,,12816.03,11444.57,92681.47,3623
17,Transportation,"ENG202 - Sr Eng, Trans",115304.8,,17335.86,22971.46,155612.12,3624
20,Transportation,"ENE101 - Dir, Transportation",199465.36,,11884.23,37400.64,248750.23,3625
18,Transportation,"ENG201 - Eng, Trans",84898.64,,15446.68,17604.77,117950.09,3626
16,Transportation,"ENG201 - Eng, Trans",97406.1,,19252.49,18293.06,134951.65,3627
15,Transportation,"ENG202 - Sr Eng, Trans",26992.94,,4522.08,4248.78,35763.8,3628
18,Transportation,"ENG202 - Sr Eng, Trans",118161.36,,15782.86,24965.18,158909.4,3629
21,Transportation,"ENE101 - Dir, Transportation",16638.38,,1310.26,3494.33,21442.97,3630
19,Transportation,"ENG201 - Eng, Trans",9964.46,,1936.64,1641.16,13542.26,3631
17,Transportation,"ENG201 - Eng, Trans",99291.45,,17335.86,19704.79,136332.1,3632
18,Transportation,"ENG202 - Sr Eng, Trans",84669.6,,14160.41,17485.16,116315.17,3633
19,Transportation,"ENG202 - Sr Eng, Trans",121989.84,,16084.14,26478.58,164552.56,3634
14,Utilities,"ENE102 - Dir, Utilities",184646.67,,17073.33,28067.87,229787.87,3635
17,Transportation,"ENG201 - Eng, Trans",41589.41,,10160.64,8385.71,60135.76,3636
18,Transportation,"ENG201 - Eng, Trans",101968.68,,15447.63,20988.55,138404.86,3637
19,Transportation,"ENG202 - Sr Eng, Trans",99976.36,,15469.08,20888.54,136333.98,3638
20,Transportation,"ENG202 - Sr Eng, Trans",124671.08,,11884.23,26092.07,162647.38,3639
15,Utilities,"ENE102 - Dir, Utilities",184497.84,,18140.15,26956.2,229594.19,3640
17,Transportation,"ENG201 - Eng, Trans",47787.83,,10078.26,9831.48,67697.57,3641
19,Transportation,"ENG201 - Eng, Trans",105347.24,,15469.41,21923.7,142740.35,3642
20,Transportation,"ENG202 - Sr Eng, Trans",54540.22,,5957.01,11533.1,72030.33,3643
15,Transportation,"ENG202 - Sr Eng, Trans",50292.88,,9095.99,9462.56,68851.43,3644
16,Transportation,"ENG202 - Sr Eng, Trans",26473.23,,4833.06,4960.52,36266.81,3645
15,Transportation,"ENG202 - Sr Eng, Trans",26765.16,,6081.27,5045.61,37892.04,3646
16,Transportation,"ENG202 - Sr Eng, Trans",87672.65,,19252.49,16511.36,123436.5,3647
17,Transportation,"ENG202 - Sr Eng, Trans",91899.12,,17335.86,18367.59,127602.57,3648
18,Transportation,"ENG202 - Sr Eng, Trans",101754.42,,15447.77,20983.24,138185.43,3649
19,Transportation,"ENG202 - Sr Eng, Trans",109381.32,,15469.67,22737.35,147588.34,3650
20,Transportation,"ENG202 - Sr Eng, Trans",116431.68,,12527.9,25411.42,154371,3651
21,Transportation,"ENG202 - Sr Eng, Trans",10279.46,,1310.26,2170.12,13759.84,3652
17,Transportation,"ENG202 - Sr Eng, Trans",28781.84,,5723.7,5921.1,40426.64,3653
18,Transportation,"ENG202 - Sr Eng, Trans",94023.33,,15363.19,19354.26,128740.78,3654
19,Transportation,"ENG202 - Sr Eng, Trans",101519.4,,15469.19,21170.93,138159.52,3655
20,Transportation,"ENG202 - Sr Eng, Trans",108215.16,,12542.81,23622.91,144380.88,3656
21,Transportation,"ENG202 - Sr Eng, Trans",9539.48,,1310.26,2020.05,12869.79,3657
16,Transportation,"ENG202 - Sr Eng, Trans",54102.59,,12002.9,10159.23,76264.72,3658
17,Transportation,"ENG202 - Sr Eng, Trans",103128.47,,17335.86,20485.56,140949.89,3659
18,Transportation,"ENG202 - Sr Eng, Trans",109814.32,,15448.28,22574.93,147837.53,3660
19,Transportation,"ENG202 - Sr Eng, Trans",120293.4,,15470.29,25002.34,160766.03,3661
20,Transportation,"ENG202 - Sr Eng, Trans",124801.08,,11884.23,26040.33,162725.64,3662
21,Transportation,"ENG202 - Sr Eng, Trans",10479.24,,1310.26,2198.32,13987.82,3663
17,Transportation,"ENG202 - Sr Eng, Trans",-706.91,,-29.89,-15.42,-752.22,3664
17,Transportation,"ENG202 - Sr Eng, Trans",38155.32,,7175.22,7924.96,53255.5,3665
18,Transportation,"ENG202 - Sr Eng, Trans",96532,,15447.5,20009.42,131988.92,3666
19,Transportation,"ENG202 - Sr Eng, Trans",104935.14,,15469.39,21926.26,142330.79,3667
20,Transportation,"ENG202 - Sr Eng, Trans",112835.84,,11884.23,23592.08,148312.15,3668
21,Transportation,"ENG202 - Sr Eng, Trans",9913.98,,1310.26,2082.61,13306.85,3669
16,Transportation,"ENG202 - Sr Eng, Trans",357.5,,725.76,69.14,1152.4,3670
17,Transportation,"ENG202 - Sr Eng, Trans",95715.03,,17335.86,19136.04,132186.93,3671
18,Transportation,"ENG202 - Sr Eng, Trans",103606.56,,15500.28,21520.76,140627.6,3672
19,Transportation,"ENG202 - Sr Eng, Trans",113779.56,,16119.9,24699.33,154598.79,3673
20,Transportation,"ENG202 - Sr Eng, Trans",121646.44,,11884.23,25527.26,159057.93,3674
21,Transportation,"ENG202 - Sr Eng, Trans",10914.24,,1310.26,2303.65,14528.15,3675
17,Transportation,"ENG202 - Sr Eng, Trans",95536.4,,15158.58,19035.51,129730.49,3676
18,Transportation,"ENG202 - Sr Eng, Trans",119576.12,,15448.63,24477.4,159502.15,3677
19,Transportation,"ENG202 - Sr Eng, Trans",122769.84,,15470.45,25438.41,163678.7,3678
20,Transportation,"ENG202 - Sr Eng, Trans",124801.08,,11884.23,25954.91,162640.22,3679
21,Transportation,"ENG202 - Sr Eng, Trans",10479.24,,1310.26,2199.53,13989.03,3680
19,Transportation,"ENG202 - Sr Eng, Trans",19960.5,,3233.26,4121.49,27315.25,3681
20,Transportation,"ENG202 - Sr Eng, Trans",102305.16,,12578.52,22532.99,137416.67,3682
21,Transportation,"ENG202 - Sr Eng, Trans",9017.7,,1310.26,1920.65,12248.61,3683
17,Transportation,"ENG202 - Sr Eng, Trans",17360.88,,2820.66,3576.77,23758.31,3684
18,Transportation,"ENG202 - Sr Eng, Trans",45094.1,,7034.32,10085.42,62213.84,3685
20,Transportation,"ENG201 - Eng, Trans",107525.24,,11884.23,22493.81,141903.28,3686
21,Transportation,"ENG201 - Eng, Trans",8972.56,,1310.26,1891.08,12173.9,3687
17,Transportation,"ENG201 - Eng, Trans",-607.7,,-44.51,-29.61,-681.82,3688
15,Transportation,"ENG201 - Eng, Trans",26436.11,,6834.95,4984.08,38255.14,3689
16,Transportation,"ENG201 - Eng, Trans",72945.37,,19252.49,13663.86,105861.72,3690
18,Transportation,"ENG201 - Eng, Trans",75781.84,,14094.98,16060.8,105937.62,3691
17,Transportation,"ENG201 - Eng, Trans",78674.64,,17335.86,15699,111709.5,3692
21,Transportation,"ENG202 - Sr Eng, Trans",10456.24,,1310.26,2200.89,13967.39,3693
17,Transportation,"ENG201 - Eng, Trans",24531.64,,4997.94,5078.54,34608.12,3694
18,Transportation,"ENG201 - Eng, Trans",83483.76,,15446.63,17221.58,116151.97,3695
19,Transportation,"ENG201 - Eng, Trans",90532.48,,15468.47,18905.02,124905.97,3696
20,Transportation,"ENG201 - Eng, Trans",16059.24,,2634.32,3352.63,22046.19,3697
14,Transportation,"ENG201 - Eng, Trans",18948.48,,5010.98,3225.82,27185.28,3698
15,Transportation,"ENG201 - Eng, Trans",70970.75,,18140.15,12750.02,101860.92,3699
16,Transportation,"ENG201 - Eng, Trans",77386.59,,19252.49,14426.46,111065.54,3700
14,Transportation,"ENG201 - Eng, Trans",69671.66,,17073.33,11814.7,98559.69,3701
15,Transportation,"ENG201 - Eng, Trans",73420.8,,18140.15,13156.43,104717.38,3702
16,Transportation,"ENG201 - Eng, Trans",78649.6,,19252.49,14854.51,112756.6,3703
17,Transportation,"ENG201 - Eng, Trans",5488.68,,1451.52,985.71,7925.91,3704
14,Transportation,"ENG201 - Eng, Trans",76441.76,,17073.33,12962.73,106477.82,3705
15,Transportation,"ENG201 - Eng, Trans",81853.12,,18140.15,14689.51,114682.78,3706
16,Transportation,"ENG201 - Eng, Trans",75498.77,,16915.71,14272.31,106686.79,3707
14,Transportation,"ENG201 - Eng, Trans",67796.15,,15654.23,11328.99,94779.37,3708
15,Transportation,"ENG201 - Eng, Trans",32621.66,,7651.41,5645.47,45918.54,3709
14,Transportation,"ENG201 - Eng, Trans",58303.71,,14944.68,9890.67,83139.06,3710
15,Transportation,"ENG201 - Eng, Trans",73462.37,,18140.15,13161.91,104764.43,3711
16,Transportation,"ENG201 - Eng, Trans",32022.7,,8055.1,6059.6,46137.4,3712
14,Transportation,"ENG201 - Eng, Trans",34522.69,,9268.28,5903.28,49694.25,3713
15,Transportation,"ENG201 - Eng, Trans",72525.37,,18140.15,12982.98,103648.5,3714
16,Transportation,"ENG201 - Eng, Trans",76001.28,,19252.49,14369.44,109623.21,3715
17,Transportation,"ENG201 - Eng, Trans",81237.84,,17335.86,16290.52,114864.22,3716
18,Transportation,"ENG201 - Eng, Trans",7122.18,,1286.76,1478.38,9887.32,3717
15,Transportation,"ENG201 - Eng, Trans",8243.83,,2312.87,1529.11,12085.81,3718
16,Transportation,"ENG201 - Eng, Trans",77472.52,,19252.49,14628.59,111353.6,3719
17,Transportation,"ENG201 - Eng, Trans",54986.81,,11612.16,10807.36,77406.33,3720
17,Transportation,"ENG201 - Eng, Trans",23672.07,,5656.71,4902.76,34231.54,3721
18,Transportation,"ENG201 - Eng, Trans",75014.64,,16097.52,16279.81,107391.97,3722
19,Transportation,"ENG201 - Eng, Trans",81567.52,,16116.37,17856.57,115540.46,3723
20,Transportation,"ENG201 - Eng, Trans",86689.68,,11884.23,18333.5,116907.41,3724
21,Transportation,"ENG201 - Eng, Trans",7653.62,,1310.26,1625.68,10589.56,3725
19,Transportation,"ENG201 - Eng, Trans",26787.24,,4995.94,5282.52,37065.7,3726
20,Transportation,"ENG201 - Eng, Trans",79146.24,,11884.23,16793.45,107823.92,3727
21,Transportation,"ENG201 - Eng, Trans",6987.62,,1310.26,1488.24,9786.12,3728
16,Transportation,"ENG201 - Eng, Trans",31490.46,,7169.84,5963.04,44623.34,3729
17,Transportation,"ENG201 - Eng, Trans",49866.88,,10160.64,9734.57,69762.09,3730
18,Transportation,"ENG201 - Eng, Trans",43041.18,,9012.12,8990.14,61043.44,3731
19,Transportation,"ENG201 - Eng, Trans",78397.44,,15467.78,16490.99,110356.21,3732
21,Development Services,"DNM203 - Asst Dir, Development Services",12700.68,,1310.26,2675.37,16686.31,3733
16,Utilities,"ENE102 - Dir, Utilities",184768.08,,19252.49,30165.16,234185.73,3734
17,Utilities,"ENE102 - Dir, Utilities",191018.16,,17335.86,33295,241649.02,3735
18,Transportation,"ENG201 - Eng, Trans",89425.98,,15447.08,18594.46,123467.52,3736
18,Utilities,"ENE102 - Dir, Utilities",194513.65,,15513.44,35476.63,245503.72,3737
19,Transportation,"ENG201 - Eng, Trans",96939.6,,14800.21,19442.74,131182.55,3738
19,Utilities,"ENE102 - Dir, Utilities",200847.76,,16130.63,38624.58,255602.97,3739
20,Transportation,"ENG201 - Eng, Trans",103344,,12527.9,22640.43,138512.33,3740
20,Utilities,"ENE102 - Dir, Utilities",199979.76,,11884.23,37418.94,249282.93,3741
21,Transportation,"ENG201 - Eng, Trans",8972.56,,1310.26,1901.89,12184.71,3742
14,Transportation,"ENG202 - Sr Eng, Trans",106526.33,,15459.26,16774.26,138759.85,3743
21,Utilities,"ENE102 - Dir, Utilities",16638.38,,1310.26,3488.14,21436.78,3744
20,Transportation,"ENG201 - Eng, Trans",36326.93,,3981.27,7732.63,48040.83,3745
15,Transportation,"ENG202 - Sr Eng, Trans",109816.46,,13119.69,14306.1,137242.25,3746
17,Transportation,"ENG201 - Eng, Trans",60417.6,,10804.02,12303.99,83525.61,3747
21,Transportation,"ENG201 - Eng, Trans",6503.1,,1310.26,1388.54,9201.9,3748
16,Transportation,"ENG202 - Sr Eng, Trans",108475.62,,18446.98,20371.68,147294.28,3749
18,Transportation,"ENG201 - Eng, Trans",84501.31,,12224.22,16798.36,113523.89,3750
18,Transportation,"ENG201 - Eng, Trans",48516.45,,10298.88,10120.26,68935.59,3751
19,Transportation,"ENG201 - Eng, Trans",78714.72,,15467.65,16612.8,110795.17,3752
20,Transportation,"ENG201 - Eng, Trans",83915.04,,11884.23,17770.03,113569.3,3753
21,Transportation,"ENG201 - Eng, Trans",7408.64,,1310.26,1577.62,10296.52,3754
19,Transportation,"ENG201 - Eng, Trans",55962.06,,10957.3,11801.34,78720.7,3755
20,Transportation,"ENG201 - Eng, Trans",47234.39,,8561.54,9477.34,65273.27,3756
18,Transportation,"ENG201 - Eng, Trans",2625.01,,647.52,546.97,3819.5,3757
19,Transportation,"ENG201 - Eng, Trans",79607.92,,15467.85,16776.5,111852.27,3758
20,Transportation,"ENG201 - Eng, Trans",43024.11,,7244.38,8361.05,58629.54,3759
19,Transportation,"ENG201 - Eng, Trans",3833.33,,658.58,806.99,5298.9,3760
20,Transportation,"ENG201 - Eng, Trans",93407.52,,11884.23,19743.52,125035.27,3761
21,Transportation,"ENG201 - Eng, Trans",8168.18,,1310.26,1733.24,11211.68,3762
20,Transportation,"ENG201 - Eng, Trans",70278.06,,8591.33,14715.23,93584.62,3763
21,Transportation,"ENG201 - Eng, Trans",7632.5,,1310.26,1607.92,10550.68,3764
20,Transportation,"ENG201 - Eng, Trans",59929.95,,5957.01,12563.73,78450.69,3765
21,Transportation,"ENG201 - Eng, Trans",8020.42,,1310.26,1698.44,11029.12,3766
14,Transportation,"ENG202 - Sr Eng, Trans",5290.71,,775.05,887.47,6953.23,3767
14,Transportation,"ENG202 - Sr Eng, Trans",109989.76,,17073.33,18479.72,145542.81,3768
15,Transportation,"ENG202 - Sr Eng, Trans",111912.48,,18140.15,19933.57,149986.2,3769
16,Transportation,"ENG202 - Sr Eng, Trans",113020.56,,19252.49,21284.51,153557.56,3770
17,Transportation,"ENG202 - Sr Eng, Trans",87703.89,,10160.64,14267.75,112132.28,3771
14,Transportation,"ENG202 - Sr Eng, Trans",109739.76,,17073.33,18580.03,145393.12,3772
15,Transportation,"ENG202 - Sr Eng, Trans",111912.48,,18140.15,20037.7,150090.33,3773
14,Development Services,"DNM203 - Asst Dir, Development Services",61420.1,,10687.38,10328.88,82436.36,3774
15,Development Services,"DNM203 - Asst Dir, Development Services",48890.82,,8290.48,8073.48,65254.78,3775
14,Transportation,"ENG201 - Eng, Trans",96082.25,,17073.33,16053.62,129209.2,3776
20,Development Services,"DNM203 - Asst Dir, Development Services",25840.38,,897.39,5941.36,32679.13,3777
17,Transportation,"ENG202 - Sr Eng, Trans",115304.8,,17335.86,22857.59,155498.25,3778
15,Transportation,"ENG201 - Eng, Trans",70827.01,0,13518.08,13096.87,97441.96,3779
21,Development Services,"DNM203 - Asst Dir, Development Services",11358.16,,1310.26,2377.64,15046.06,3780
18,Transportation,"ENG202 - Sr Eng, Trans",118161.36,,15448.63,24329.33,157939.32,3781
16,Transportation,"ENG201 - Eng, Trans",4292.64,,805.51,806,5904.15,3782
17,Transportation,"ENG202 - Sr Eng, Trans",115658.8,,17335.86,22953.06,155947.72,3783
18,Transportation,"ENG202 - Sr Eng, Trans",82802.47,,11004.39,17261.44,111068.3,3784
19,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",54596.54,,5164.27,10430.34,70191.15,3785
19,Transportation,"ENG202 - Sr Eng, Trans",122512.34,,15470.45,25447.15,163429.94,3786
14,Transportation,"ENG201 - Eng, Trans",94548,,17073.33,15905.64,127526.97,3787
18,Transportation,"ENG202 - Sr Eng, Trans",118665.36,,15448.63,24446.59,158560.58,3788
19,Transportation,"ENG202 - Sr Eng, Trans",121989.84,,16121.34,26444.35,164555.53,3789
20,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",148273.36,,11884.23,29950.06,190107.65,3790
20,Transportation,"ENG202 - Sr Eng, Trans",124636.08,,11884.23,25938.78,162459.09,3791
15,Transportation,"ENG201 - Eng, Trans",96834.25,,18140.15,17224.34,132198.74,3792
19,Transportation,"ENG202 - Sr Eng, Trans",122493.84,,15470.45,25524.98,163489.27,3793
20,Transportation,"ENG202 - Sr Eng, Trans",106250.68,,12542.81,21756,140549.49,3794
21,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",12408.46,,1310.26,2616.04,16334.76,3795
21,Transportation,"ENG202 - Sr Eng, Trans",10479.24,,1310.26,2197.26,13986.76,3796
16,Transportation,"ENG201 - Eng, Trans",97838.73,,19252.49,18370.14,135461.36,3797
20,Transportation,"ENG202 - Sr Eng, Trans",125650.28,,11884.23,26302.56,163837.07,3798
21,Transportation,"ENG202 - Sr Eng, Trans",8291.34,,1310.26,1753.28,11354.88,3799
19,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",130139.26,,15846.37,26883.52,172869.15,3800
14,Transportation,"ENG202 - Sr Eng, Trans",109739.76,,17073.33,18552.66,145365.75,3801
17,Transportation,"ENG201 - Eng, Trans",99291.45,,17335.86,19715.58,136342.89,3802
21,Transportation,"ENG202 - Sr Eng, Trans",10456.24,,1310.26,2202.21,13968.71,3803
19,Development Services,"ENG202 - Sr Eng, Trans",250,,-17.31,25,257.69,3804
20,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",130871.12,,11884.23,27444.11,170199.46,3805
21,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",11510.14,,1310.26,2425.69,15246.09,3806
19,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",102804.64,,11600.97,19264.12,133669.73,3807
20,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",137530.9,,11884.23,27825.45,177240.58,3808
21,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",11479.62,,1310.26,2410.91,15200.79,3809
19,Community Development,"DNM204 - Asst Dir, Cmnty Dvlpmnt",90851.2,,10307.05,18974.25,120132.5,3810
16,Transportation,DPG503 - Asst Planner - PBP,6359.45,,,1363.71,7723.16,3811
15,Transportation,"EMG201 - Eng, Trans - PBM",3452.4,,,334.3,3786.7,3812
14,Transportation,EMG208 - Sr Eng Tech - PBM,21892.16,,,2069.54,23961.7,3813
15,Transportation,EMG208 - Sr Eng Tech - PBM,30309.56,,,2820.12,33129.68,3814
16,Transportation,EMG208 - Sr Eng Tech - PBM,29107.6,,,2701.71,31809.31,3815
17,Transportation,EMG208 - Sr Eng Tech - PBM,19486.74,,,1619.31,21106.05,3816
18,Transportation,EMG208 - Sr Eng Tech - PBM,17909.43,,,1470.19,19379.62,3817
19,Transportation,EMG208 - Sr Eng Tech - PBM,892.32,,,74.59,966.91,3818
15,Utilities,EMG208 - Sr Eng Tech - PBM,4488.47,,,647.03,5135.5,3819
16,Utilities,EMG208 - Sr Eng Tech - PBM,25935.47,,,2575.31,28510.78,3820
17,Utilities,EMG208 - Sr Eng Tech - PBM,28848.64,,,2449.89,31298.53,3821
18,Utilities,EMG208 - Sr Eng Tech - PBM,30489.5,,,2542.48,33031.98,3822
19,Utilities,EMG208 - Sr Eng Tech - PBM,32265.12,,,2704.28,34969.4,3823
20,Utilities,EMG208 - Sr Eng Tech - PBM,51468.42,,,4342.13,55810.55,3824
21,Utilities,EMG208 - Sr Eng Tech - PBM,4298.4,,,366.2,4664.6,3825
